pagename,post_id,comment_id,comment
nytimes,10210032410395021,184073478804176_184136575464533,"Johnny, clearly."
nytimes,1571595686236775,1919847421566104_1919875408229972,"Pretentious

[pri-ten-shuh s]

adjective
1. Characterized by assumption of dignity or importance, especially when exaggerated or undeserved: a pretentious, self-important waiter.
2. Making an exaggerated outward show; ostentatious.
3. Full of pretense or pretension; having no factual basis; false."
nytimes,10156689601108989,1919520494932130_1919567528260760,Pete Harrison completely false and you know it. You're just a hater... sit down.
nytimes,527995174214395,184073478804176_184127508798773,Kind of missing the point there Rusty.
nytimes,10214955691908960,1919850988232414_1920121511538695,"Bend and bloom
Julie dohrman"
nytimes,376030429520417,1918601078357405_1918709185013261,Yves Lorange Regions are ot free. Only people can be free. And people in Catalonia are free you scum
nytimes,10213751603766414,1918731105011069_1918790108338502,Julio Hermann thank you.
nytimes,10212731166047942,1919520494932130_1919844401566406,Like 45 keeps the politics out of football.
nytimes,10214005134500293,1919850988232414_1919959134888266,Brandon Flint oh no! Facts.
nytimes,10155777678483185,1918679185016261_1918842984999881,"""The rocks are a little bit hard, but once you get over that, just a bottle of rose and you're perfect"" Rebecca Bissonnette Kath Ann couldn't have said it better myself"
nytimes,2087661041457743,10151310132129999_121185295248840,She is irish and wonderful!
nytimes,10154899295561892,1918268465057333_1918304338387079,Red Cross Mexico
nytimes,1444313135682651,1919850988232414_1919879454896234,Maral Razmand :D should have shown this
nytimes,808466682694966,1918268465057333_1918625461688300,Whatabout the scum that carry babies for months only to abort them?
nytimes,1475307635884849,1918268465057333_1918305248386988,https://cruzrojadonaciones.org/   ....Please Help us. <3
nytimes,10155006341288193,1919194918298021_1919209451629901,I hope our Caribbean neighbors are able to rise above the devastation as well. #CaribbeanStrong
nytimes,1824143487614513,1919439628273550_1919470918270421,Germany is not bad. Germans are not bad. Racism is negligable in Germany. It's the guilt trip that benefits the so called refugees .
nytimes,10212405781552387,1919439628273550_1919689844915195,Thanks Eva Maria and Patrick Kiefer for your words because of course Germany is not perfect blablabla. But seriously they're the only ones trying and I get really upset at the world expecting Germany to be perfect dealing with a difficult and challenging situation . Like come on. Of course there are a few unhappy but there are much more who are simply lovely about it.
nytimes,1764081480332045,1919163081634538_1919425194941660,Nancy Miller you go girl
nytimes,10155994884077079,1920926231458223_1921305734753606,"Yo ho it's hot, 
the sun is not 
a place where we could live 
But here on earth there'd be no life without the light it gives"
nytimes,10212194448314453,1919520494932130_1919638494920330,Yesss!
nytimes,1260375127401221,1918679185016261_496677244030974,"The rocks are a little weird to deal with for those of us used to the sands of the Great Lakes, but I can see it.  It's a more extreme version of those beaches in the Thumb with little pieces of shale all over the place."
nytimes,1460596200655458,1918268465057333_1918820365002143,"Thanxs for you good intentions, but we dont need prayers, those are useless. If you really care and wanna help make a donation."
nytimes,10210726754950417,1919163081634538_1919190174965162,"No the dumbing down was complete when millions DIDN""T VOTE..."
nytimes,10156795588707619,1919446624939517_1919740364910143,"Megan I'm guessing you've heard about this already, but wow!"
nytimes,10155938683011454,1919163081634538_1919205534963626,"You weren't there, you know nothing about the issues, yet you seem to think your opinion matters. It doesn't."
nytimes,10155940619158783,1919030691647777_1919369241613922,"Jon Peters -Begone, hungarian fascist Troll."
nytimes,10210554204474839,10151308886239999_10151311465694999,"There's a spirit of lawlessness and injustice in the St. Louis region that permeates from the State, City and local government"
nytimes,907873409388347,1918268465057333_1918312508386262,"Please pray for Mexico,  a lots of familys lost everything in Chiapas,  Oaxaca, Morelos, Puebla and Mexico City!"
nytimes,10214610351002399,1919163081634538_1919172591633587,"Greatest what exactly? 
The man handed trump the presidency. Trump fired him for thier disagreement and frankly he didn't need him anymore."
nytimes,346042125857201,1919439628273550_1919719384912241,Erika Czerniejewski Education is the key? Can you educate your people first and stop them from invading foreign countries. What type of hypocrite are you?
nytimes,10155523120170325,1918601078357405_1918680528349460,Where did you learn about the conflict wirh Catalonia to vent your ridiculous viewpoint???? Get well informed before writing sth. I lived in Madrid unforgettable moments. Go Madrid and Spain!!!!
nytimes,10155495293040935,1919163081634538_1919183044965875,"Randy Meier you do understand that Russia interfered with the election by dropping voter rolls, disseminating propaganda, manipulating factual information all the while working with Americans to put a puppet in the WH. There was nothing at the time that Comey could have done to stop that. So yeah, blame him not Russia/Trump."
nytimes,10155633353221397,1918680988349414_1918691488348364,"Gene Gomes so why 2 hurricanes category 5 in less than 2 weeks in the same place? Soo what is the ""fuel"" of a hurricane? Hot water or cool water? You talk about global warming and Pham talks about a climate change and there are well documented changes. The nature doesn't care if you believe or not."
nytimes,1793714407345907,1919439628273550_1919943588223154,Not being fueled by hate and speaking up against it = brain washed? Suuuure
nytimes,1489492404420468,1919163081634538_1919192618298251,Ignore Skip Klauber.
nytimes,1745221699105090,1919439628273550_1919592748258238,Christian Salazar So the blame is shifted to all but the person themselves?
nytimes,10213530615636105,1918679185016261_142046829741489,D?masqu?e... 
